Scenario #,BP,HRBP,HREKG,HRSAT,EXPCO2,CVP,PCWP,Ground Truth
1,LOW,LOW,LOW,LOW,LOW,LOW,LOW,No_Hypovolemia
2,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,No_Hypovolemia
3,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,NORMAL,No_Hypovolemia
4,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,No_Hypovolemia
5,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Hypovolemia
6,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,No_Hypovolemia
7,LOW,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,Hypovolemia
8,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,No_Hypovolemia
9,NORMAL,HIGH,HIGH,LOW,HIGH,NORMAL,LOW,No_Hypovolemia
10,HIGH,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,No_Hypovolemia
11,LOW,LOW,HIGH,LOW,HIGH,LOW,LOW,No_Hypovolemia
12,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,HIGH,Hypovolemia
