Scenario #,BP,HRBP,HREKG,HRSAT,EXPCO2,CVP,PCWP,Ground Truth
1,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,No_Hypovolemia
2,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,No_Hypovolemia
3,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL,No_Hypovolemia
4,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,No_Hypovolemia
5,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,No_Hypovolemia
6,HIGH,HIGH,NORMAL,NORMAL,HIGH,HIGH,NORMAL,No_Hypovolemia
7,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,NORMAL,No_Hypovolemia
8,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,LOW,No_Hypovolemia
9,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,LOW,No_Hypovolemia
10,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,LOW,No_Hypovolemia
11,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,No_Hypovolemia
12,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,LOW,No_Hypovolemia
13,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,No_Hypovolemia
14,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,No_Hypovolemia
15,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,LOW,No_Hypovolemia
16,HIGH,LOW,LOW,LOW,LOW,NORMAL,LOW,No_Hypovolemia
17,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW,No_Hypovolemia
18,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,No_Hypovolemia
19,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,No_Hypovolemia
20,HIGH,LOW,LOW,LOW,NORMAL,HIGH,NORMAL,No_Hypovolemia
21,HIGH,NORMAL,NORMAL,NORMAL,LOW,HIGH,NORMAL,No_Hypovolemia
22,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,NORMAL,No_Hypovolemia
23,HIGH,LOW,LOW,LOW,LOW,HIGH,NORMAL,No_Hypovolemia
24,HIGH,NORMAL,NORMAL,NORMAL,HIGH,HIGH,NORMAL,No_Hypovolemia
25,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,No_Hypovolemia
26,HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL,No_Hypovolemia
27,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,No_Hypovolemia
28,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,No_Hypovolemia
29,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL,No_Hypovolemia
30,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,NORMAL,No_Hypovolemia
31,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,NORMAL,No_Hypovolemia
32,NORMAL,HIGH,HIGH,HIGH,LOW,NORMAL,NORMAL,No_Hypovolemia
33,NORMAL,LOW,LOW,LOW,LOW,NORMAL,NORMAL,No_Hypovolemia
34,HIGH,LOW,LOW,LOW,LOW,NORMAL,NORMAL,No_Hypovolemia
35,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,No_Hypovolemia
36,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,No_Hypovolemia
37,NORMAL,LOW,LOW,LOW,HIGH,NORMAL,NORMAL,No_Hypovolemia
38,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL,No_Hypovolemia
39,HIGH,NORMAL,HIGH,NORMAL,LOW,NORMAL,NORMAL,No_Hypovolemia
40,HIGH,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,No_Hypovolemia
41,NORMAL,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,No_Hypovolemia
42,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,No_Hypovolemia
43,NORMAL,NORMAL,NORMAL,HIGH,LOW,NORMAL,NORMAL,No_Hypovolemia
44,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,No_Hypovolemia
45,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,No_Hypovolemia
46,NORMAL,HIGH,HIGH,NORMAL,HIGH,NORMAL,NORMAL,No_Hypovolemia
47,HIGH,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,No_Hypovolemia
48,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,NORMAL,No_Hypovolemia
49,HIGH,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,No_Hypovolemia
50,HIGH,HIGH,LOW,HIGH,NORMAL,NORMAL,NORMAL,No_Hypovolemia
51,NORMAL,HIGH,NORMAL,HIGH,LOW,NORMAL,NORMAL,No_Hypovolemia
